Feature,SHAP_Value,Feature_Value
Sensor_15,-17.712312368676066,1.4255832873053498
Sensor_9,-13.242570682428777,1.7318856021249998
Sensor_15_roll_mean5,9.352989460341632,1.739966446997205
Sensor_6,-4.889034234452993,0.7543729660494687
Sensor_3,-4.5084196254611015,1.2024760218030668
Sensor_12_roll_mean5,4.228250493179075,-1.3082865740442053
Sensor_11,-3.9203829802572727,1.5243230828016565
Sensor_13,3.833760310539219,1.4078916425307195
Sensor_4_roll_mean5,3.683891119500913,1.6518170673397032
Sensor_2,-3.5750421916600317,1.2488989294579502
Sensor_21,3.144120938843116,-0.867141621775162
Sensor_7,-2.3566628857515752,-0.6878360362842615
Sensor_12,-2.141643652692437,-0.8939668497781917
Sensor_11_roll_mean5,1.9392258236184716,1.7383575681340262
Sensor_8,-1.6244536533704377,1.4210107347136787
Sensor_17,1.3174269990995526,1.2709446640716404
Regime_ID,1.2427985094836913,2.18
Sensor_10,-1.1486139075423125,-0.20825695112411552
Sensor_13_roll_mean5,-1.1399650620296597,1.8444796834267292
Sensor_14,1.1261994116939604,1.499726772195582
Regime_OneHot_5,-1.0841217937413603,-0.028724213634657846
Regime_OneHot_2,0.8616850358666852,0.025643544064860597
Sensor_4_diff1,0.7702220461796969,0.00359387279792065
Sensor_13_diff1,-0.7096820715814829,0.03291813398783373
Sensor_4_roll_std5,0.681529788649641,-0.01286413277526389
Sensor_20,0.6076835116837174,-0.7280629203424591
Sensor_8_diff1,-0.5408704228466377,0.012556396320631477
Sensor_1,0.5165498194983229,0.02752901618547321
Sensor_12_diff1,0.47990189399570227,-0.0022940420852766764
Sensor_5,-0.47096182859968394,-0.05470548113518114
Regime_OneHot_0,0.45826238254085183,-0.021606785446338712
Sensor_19,-0.4527322016656399,0.028201445609280677
Sensor_8_roll_mean5,0.4476053877733648,1.8824213820114288
Sensor_15_diff1,0.3940766346640885,0.014760632021387141
Sensor_13_roll_std5,0.36326292832382023,-0.45696405243919974
Sensor_12_roll_std5,-0.2725522757973522,0.7354782615539038
Sensor_11_roll_std5,0.20150627568364143,-0.20598082339374663
Regime_OneHot_3,0.18170467048184946,-0.02820144560840073
Sensor_8_roll_std5,-0.1723414317239076,-0.5387533394307216
Sensor_4,-0.15570514975115657,1.3582870536456295
Sensor_15_roll_std5,0.11441890385685838,0.2533241616272512
Regime_OneHot_4,0.07056135009042919,-0.02925837103743791
Sensor_11_diff1,-0.060489985335152596,0.0028782694755713576
Regime_OneHot_1,-0.008221649273764342,0.0869567441398173
Sensor_18,0.0,0.0
