Clusters,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,71267.11514725503,0.6158813684579357,0.6091183862753524,67894.7277440867
3,16998.29633524375,0.801612702381474,0.31208474734640795,228135.98025472366
4,5613.790952543908,0.8513140863929997,0.21992174777485113,496852.3571731319
5,1133.9468472153735,0.9302472190732297,0.10720861614128314,1897868.8684382073
6,0.23500947828352928,0.997092120415507,0.004478139869940972,7377668349.253802
7,0.18761968213985863,0.9357271156016491,0.11256268183782274,7702519112.389204
8,0.15725255836414875,0.8982990690956858,0.1939068552842687,7884369392.264484
9,0.12761501088181387,0.8616489166834869,0.2563843121615327,8499976668.654835
10,0.09839563676949925,0.8285884764123211,0.30223747435426473,9808112790.249914
