Feature,SHAP_Value,Feature_Value
Sensor_13,4.297254371643064,-0.33948057389254105
Sensor_9,1.9754966735839758,-0.4545180120276421
Sensor_2,1.9708921432495217,-0.44872066723896437
Sensor_4,1.7793891906738395,-0.5102830386758652
Sensor_21,1.77628946304322,0.5119960428273295
Sensor_8,-1.4374702453613324,-0.43001410317005656
Sensor_20,0.9807790756225501,0.5550019591814495
Sensor_15,0.8848952293395911,-0.4323326846475877
Sensor_7,-0.8130415916442928,0.5443847489585507
Sensor_11,0.7955070495605483,-0.5396276412938815
Sensor_14,0.5939741134643555,-0.41435344736359975
Sensor_17,-0.3410131454467731,-0.5879708224134339
Sensor_12,0.18472280502319904,0.4705516941572421
Sensor_3,0.0642637252807603,-0.49302447884258216
