Feature,MeanAbsSHAP
Sensor_11,5.2529965953826885
Sensor_4,5.249132135391235
Sensor_9,4.722091224670412
Sensor_2,4.576262080192566
Sensor_14,2.736705810546876
Sensor_13,2.7313297452926633
Sensor_12,2.1512504816055307
Sensor_15,1.9801244153976432
Sensor_7,1.8644835090637215
Sensor_20,1.4845317230224606
Sensor_21,1.3817585010528572
Sensor_8,1.2739202508926395
Sensor_17,0.5858862400054925
Sensor_3,0.4204669218063357
