Feature,MeanAbsSHAP
Sensor_9,16.124512195684602
Sensor_9_roll_mean5,10.736157250186553
Sensor_13_roll_mean5,9.84890764930794
Sensor_11,8.714770877334681
Sensor_4,8.09435221250671
Sensor_14,7.226361713748483
Sensor_17,7.098369576403092
Sensor_7,6.929255810527829
Sensor_17_roll_mean5,6.002470612869292
Sensor_21,5.592563916644849
Regime_ID,5.278689391976486
Sensor_8_roll_mean5,5.0160633821968075
Sensor_15,4.902685695262553
Sensor_13_roll_std5,4.697953012323608
Sensor_12,4.471736530587623
Sensor_6,4.056903566075671
Sensor_11_roll_mean5,3.6254460423696946
Sensor_4_roll_mean5,3.5705369719086595
Regime_OneHot_4,3.452322568877262
Sensor_8,3.2459891644480057
Sensor_13,3.1306452342802005
Sensor_2,2.684024932789289
Sensor_10,2.6379076892680677
Sensor_1,2.4723575831918425
Regime_OneHot_5,2.4254749132834927
Regime_OneHot_0,2.01385907777043
Sensor_20,1.681497557365683
Sensor_3,1.6467767597217788
Sensor_9_roll_std5,1.5847173193551134
Sensor_8_roll_std5,1.5459739568883049
Sensor_11_diff1,1.5454613020569559
Sensor_13_diff1,1.487895300882501
Sensor_9_diff1,1.388827810701855
Regime_OneHot_2,1.1734012882173557
Sensor_8_diff1,1.1569856690499
Sensor_11_roll_std5,1.1012545763183152
Sensor_5,1.0496324866905808
Regime_OneHot_3,0.9189387414665362
Sensor_17_roll_std5,0.8059352714928991
Sensor_4_roll_std5,0.7687324949927006
Sensor_4_diff1,0.7307015660613252
Sensor_19,0.6705664794006058
Sensor_17_diff1,0.6647662485228397
Regime_OneHot_1,0.6187736171355936
Sensor_18,0.0
