Feature,SHAP_Value,Feature_Value
Sensor_9,-19.387716687226202,0.39438537095871645
Sensor_6,-10.210849937284365,-2.3292555721409016
Sensor_17_roll_mean5,10.085831147735007,0.061598098220697395
Sensor_9_roll_mean5,9.670499368337914,0.36855149257732356
Sensor_13_roll_mean5,9.259134885855019,0.35343448078015255
Sensor_15,-8.25221953401342,-1.1643876108202678
Regime_ID,-8.03181468974799,2.36
Sensor_14,-7.921202672529034,0.51855017163235
Sensor_17,-7.3230695956153795,0.10559194763879992
Sensor_7,-6.303949005203322,0.41030147365168135
Sensor_11,-5.599588699173182,-0.07661134355301537
Sensor_8,-5.565075273334514,0.3900580027123147
Sensor_12,-4.819150474853814,0.44518215722554955
Sensor_11_roll_mean5,-4.379568079370074,-0.1334325711959857
Regime_OneHot_4,4.34068302041851,0.08326462625992036
Regime_OneHot_5,3.6543301250057993,-0.1417424627902738
Sensor_8_roll_mean5,3.5866708639077842,0.3993627493100377
Regime_OneHot_2,-3.343315204954706,0.3625966037301022
Sensor_11_roll_std5,-3.269543890375644,0.7330774928286388
Sensor_13,-3.2106366697407793,0.35142578141856895
Sensor_4_roll_mean5,2.814633980859071,-0.18135358736737892
Sensor_13_diff1,-2.352385440841317,0.012332361684597764
Sensor_9_roll_std5,-2.2263570125214756,0.23140719471447224
Regime_OneHot_0,2.213476893492043,-0.16173662177371273
Sensor_8_diff1,-2.1422480258625,0.020939574367971812
Regime_OneHot_3,2.061574006178489,0.03212413255847363
Sensor_2,-1.867219404084608,-0.3756181954360591
Sensor_1,1.6557521305512637,-0.08183146523605642
Sensor_13_roll_std5,1.5462861632695422,-0.27623150944814595
Sensor_9_diff1,-1.023746745660901,0.056112630612288675
Sensor_4_roll_std5,-0.9519378504191991,-0.5088997353198598
Sensor_5,0.911464407981839,0.05474547509812507
Sensor_11_diff1,0.8476540530100465,0.034720545274857226
Sensor_3,0.7634494890226051,-0.1246458086588838
Sensor_10,0.6123123955912888,0.2422929836265242
Sensor_4_diff1,-0.5967956646345556,0.026605205919812747
Sensor_21,0.4618174461647868,0.3254572962931272
Sensor_4,-0.3950312132947147,-0.11695001707778861
Sensor_8_roll_std5,-0.33034998911898583,-0.37200746357488024
Sensor_17_roll_std5,-0.3279413074051263,-0.10566209764623061
Regime_OneHot_1,-0.28282391712491517,-0.1401245517294491
Sensor_19,0.24513138554175384,-0.3625966037368238
Sensor_20,-0.2116088950424455,0.37469515845121193
Sensor_17_diff1,-0.000583470449782908,0.04657885836568587
Sensor_18,0.0,0.0
