timestamp,batch_id,engine_id,severity,sensor,psi,ks_statistic,ks_pvalue,status,psi_threshold,ks_pvalue_threshold,psi_flag,ks_flag,decision_rule,sample_size,small_batch
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_2,0.512245783439229,0.22963508896204005,3.4351449995526995e-11,stable,3.6061235706518726,3.9422347348574525e-51,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_3,0.5467561673083114,0.23941414225592728,3.8907553734679884e-12,stable,2.8388681417224326,1.0779043759946363e-43,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_4,1.7701913218678393,0.33572909287886993,1.0111432971229029e-23,stable,5.049248250646867,9.074864564931494e-72,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_7,3.292099824681526,0.4259081975637874,1.5244905282887796e-38,stable,9.256970035132893,6.831210064374765e-227,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_8,0.6821117247505919,0.27394266427767827,8.242379964046596e-16,stable,6.56717955476178,2.427018280263477e-91,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_9,1.421039022430318,0.13615185354945336,0.0003389496605782283,stable,8.693131673431932,1.6599118787782399e-90,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_11,2.558150128830321,0.2954598802727892,2.284204909514009e-18,stable,6.364438585666239,1.165845461258235e-79,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_12,3.2719424348040542,0.4256982929844299,1.668843936261562e-38,stable,9.435658724381167,1.095130332346942e-240,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_13,0.680068918094092,0.2613480422795394,2.0747649985403798e-14,stable,6.406759388675769,1.5125625027612907e-94,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_14,1.7042950661068246,0.1763524869091768,9.368692843182463e-07,stable,11.208995204293963,1.2743253032301262e-153,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_15,4.158259125388258,0.47018452157728796,2.304387202249075e-47,stable,6.80576986999167,2.1111232056279842e-119,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_17,0.6446639926438649,0.2651850077086545,7.899903042592181e-15,stable,2.2669651616915045,1.0947116722555822e-50,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_20,2.816757925463393,0.35973842660110833,2.8214921834305255e-27,stable,6.508655747701687,1.7609542211357915e-123,False,False,AND,233,False
2026-08-07T02:54:21.150456+00:00,normal_0000,1,normal,Sensor_21,2.7618030410091197,0.3534162881786741,2.5893372415184247e-26,stable,6.18939767137701,2.2349503222644077e-128,False,False,AND,233,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_2,1.6617243780724766,0.2266664056790897,4.910900772997582e-06,stable,3.6061235706518726,3.9422347348574525e-51,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_3,0.5599735306328852,0.20299222257020566,6.400071227176025e-05,stable,2.8388681417224326,1.0779043759946363e-43,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_4,2.9450150404959077,0.3271166092493997,3.1953968458489707e-12,stable,5.049248250646867,9.074864564931494e-72,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_7,4.350149661068242,0.4044015554859588,1.1042229808209868e-18,stable,9.256970035132893,6.831210064374765e-227,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_8,5.071603920113201,0.42289383025367994,1.8252375622725322e-20,stable,6.56717955476178,2.427018280263477e-91,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_9,6.876995369717913,0.6708020148240944,3.797223516588859e-55,stable,8.693131673431932,1.6599118787782399e-90,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_11,4.1445104924670755,0.37289122037791,7.335194946106824e-16,stable,6.364438585666239,1.165845461258235e-79,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_12,4.347380283809913,0.4230556425514146,1.7591782497182213e-20,stable,9.435658724381167,1.095130332346942e-240,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_13,4.950488445433401,0.3679794341789331,1.912804438599145e-15,stable,6.406759388675769,1.5125625027612907e-94,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_14,9.245676769316276,0.7601915648815116,1.41322052199135e-74,stable,11.208995204293963,1.2743253032301262e-153,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_15,5.339364709516112,0.4955475519365279,2.0256658227789324e-28,stable,6.80576986999167,2.1111232056279842e-119,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_17,0.7110535132132372,0.20705710408184574,4.205147139646628e-05,stable,2.2669651616915045,1.0947116722555822e-50,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_20,3.97914971994116,0.3873042593172564,4.048928616997635e-17,stable,6.508655747701687,1.7609542211357915e-123,False,False,AND,124,False
2026-08-07T02:54:21.196800+00:00,normal_0001,2,normal,Sensor_21,3.8635199876233415,0.3674848627205345,2.1049189068350933e-15,stable,6.18939767137701,2.2349503222644077e-128,False,False,AND,124,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_2,0.3971729160328018,0.17177412662849556,1.8669572322061633e-06,stable,3.6061235706518726,3.9422347348574525e-51,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_3,0.17844829590870562,0.09780412413907563,0.02201813543134881,stable,2.8388681417224326,1.0779043759946363e-43,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_4,0.6319242469713743,0.17697390258069867,7.933419368331346e-07,stable,5.049248250646867,9.074864564931494e-72,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_7,9.140245690355714,0.7519967222637126,2.0746383514455944e-136,stable,9.256970035132893,6.831210064374765e-227,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_8,2.4938801741433156,0.3207596879926977,9.79999408694138e-22,stable,6.56717955476178,2.427018280263477e-91,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_9,2.8360554551152535,0.38070803252842084,9.717764125355957e-31,stable,8.693131673431932,1.6599118787782399e-90,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_11,1.5287063642371854,0.16050950128620034,1.0901344521935465e-05,stable,6.364438585666239,1.165845461258235e-79,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_12,9.218807876640147,0.7553833706746329,5.74095683217374e-138,stable,9.435658724381167,1.095130332346942e-240,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_13,2.700619495373925,0.35460750145216163,1.3205979586889472e-26,stable,6.406759388675769,1.5125625027612907e-94,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_14,3.173120204727135,0.4600572566591984,1.9129373139425258e-45,stable,11.208995204293963,1.2743253032301262e-153,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_15,4.428553702207088,0.5216123143307609,2.869048966922363e-59,stable,6.80576986999167,2.1111232056279842e-119,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_17,0.5414113488962099,0.10821508588498882,0.008051544049808101,stable,2.2669651616915045,1.0947116722555822e-50,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_20,5.112899274404501,0.5036055099161896,5.446340407408931e-55,stable,6.508655747701687,1.7609542211357915e-123,False,False,AND,234,False
2026-08-07T02:54:21.242670+00:00,normal_0002,3,normal,Sensor_21,5.600267910633939,0.5732760766741349,1.0411787579195379e-72,stable,6.18939767137701,2.2349503222644077e-128,False,False,AND,234,False
2026-08-07T02:54:21.285633+00:00,normal_0003,4,normal,Sensor_2,1.700855927274246,0.28872786978869214,1.632846331886749e-05,stable,3.6061235706518726,3.9422347348574525e-51,False,False,AND,68,False
2026-08-07T02:54:21.285633+00:00,normal_0003,4,normal,Sensor_3,1.3901343478140828,0.2075361698077289,0.004784754979107686,stable,2.8388681417224326,1.0779043759946363e-43,False,False,AND,68,False
2026-08-07T02:54:21.285633+00:00,normal_0003,4,normal,Sensor_4,5.535448746641805,0.42447411003236246,1.2443524981591773e-11,stable,5.049248250646867,9.074864564931494e-72,True,False,AND,68,False
2026-08-07T02:54:21.285633+00:00,normal_0003,4,normal,Sensor_7,5.32787184236896,0.4095826194555492,7.884588184579079e-11,stable,9.256970035132893,6.831210064374765e-227,False,False,AND,68,False
