severity,sensor_checks,sensor_drift_checks,sensor_drift_rate,batches,batches_with_drift,batch_drift_rate,batches_meeting_sensor_quorum
medium,1400,34,0.024285714285714285,100,19,0.19,4
normal,1400,16,0.011428571428571429,100,6,0.06,4
severe,1400,47,0.03357142857142857,100,29,0.29,5
small,1400,24,0.017142857142857144,100,11,0.11,4
