Clusters,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,80992.60776396375,0.616794740801107,0.6085689434451451,77703.36620868967
3,19153.591099829762,0.8029149874925896,0.3098633239193147,263153.99208844564
4,6390.263114904365,0.850870863697022,0.21970182593531518,566602.3007823223
5,1288.5203108098074,0.9301195684749056,0.10707222705022597,2168085.174199166
6,0.2669145223208436,0.9970748230525355,0.004489870305404784,8432063625.843359
7,0.2122585889835128,0.9348218547402238,0.113097785092782,8844210455.396572
8,0.1787923194633151,0.8978192140803698,0.19377805761711553,9003481518.262865
9,0.14533389572913888,0.8636076148008895,0.25284492578142237,9687869025.842476
10,0.11236300768349271,0.8265545148852603,0.3059359471072036,11161948205.567537
